iter	Passed	Remaining
0	58	58389
1	58	29278
2	58	19567
3	59	14715
4	59	11803
5	59	9865
6	59	8475
7	59	7436
8	60	6628
9	60	5979
10	60	5449
11	60	5008
12	61	4634
13	61	4313
14	61	4036
15	61	3793
16	61	3579
17	62	3389
18	62	3219
19	62	3065
20	62	2928
21	63	2801
22	63	2685
23	63	2580
24	63	2483
25	63	2393
26	64	2309
27	64	2232
28	64	2160
29	64	2092
30	64	2029
31	65	1970
32	65	1914
33	65	1861
34	65	1812
35	65	1766
36	66	1722
37	66	1680
38	66	1640
39	66	1602
40	66	1567
41	67	1532
42	67	1501
43	67	1470
44	67	1440
45	68	1411
46	68	1384
47	68	1358
48	68	1333
49	68	1309
50	69	1286
51	69	1264
52	69	1242
53	69	1221
54	69	1201
55	70	1182
56	70	1163
57	70	1145
58	70	1127
59	70	1110
60	71	1094
61	71	1080
62	71	1065
63	71	1050
64	72	1035
65	72	1021
66	72	1008
67	72	993
68	72	980
69	72	968
70	73	956
71	73	944
72	73	933
73	73	922
74	73	911
75	74	900
76	74	890
77	74	880
78	74	870
79	74	860
80	75	851
81	75	842
82	75	833
83	75	824
84	75	815
85	75	807
86	76	797
87	76	790
88	76	783
89	76	775
90	76	768
91	77	761
92	77	755
93	77	748
94	77	741
95	78	734
96	78	727
97	78	721
98	78	715
99	78	709
100	79	703
101	79	696
102	79	690
103	79	684
104	79	679
105	79	673
106	80	668
107	80	663
108	80	657
109	80	652
110	80	647
111	81	642
112	81	637
113	81	632
114	81	628
115	81	623
116	81	618
117	82	614
118	82	609
119	82	605
120	82	601
121	82	596
122	83	591
123	83	587
124	83	583
125	83	579
126	83	575
127	83	571
128	84	567
129	84	564
130	84	560
131	84	556
132	84	553
133	85	549
134	85	546
135	85	542
136	85	539
137	85	535
138	85	532
139	86	529
140	86	526
141	86	522
142	86	519
143	86	516
144	87	514
145	87	511
146	87	508
147	88	506
148	88	503
149	88	501
150	88	498
151	88	496
152	89	493
153	89	491
154	89	488
155	89	485
156	90	483
157	90	480
158	90	478
159	90	475
160	90	472
161	90	470
162	91	468
163	91	465
164	91	463
165	91	460
166	91	458
167	92	456
168	92	453
169	92	451
170	92	449
171	92	447
172	93	445
173	93	442
174	93	440
175	93	438
176	93	436
177	94	434
178	94	432
179	94	430
180	94	428
181	94	426
182	94	424
183	95	422
184	95	420
185	95	418
186	95	416
187	95	414
188	96	412
189	96	410
190	96	409
191	96	407
192	96	405
193	97	403
194	97	401
195	97	400
196	97	398
197	97	396
198	98	394
199	98	393
200	98	391
201	98	389
202	98	388
203	99	386
204	99	385
205	99	383
206	99	381
207	99	380
208	100	378
209	100	377
210	100	375
211	100	374
212	100	372
213	101	371
214	101	369
215	101	368
216	101	366
217	101	365
