iter	Passed	Remaining
0	61	61281
1	61	30725
2	61	20551
3	62	15452
4	62	12388
5	62	10347
6	62	8887
7	62	7792
8	63	6942
9	63	6261
10	63	5705
11	63	5243
12	63	4850
13	64	4513
14	64	4221
15	64	3965
16	64	3739
17	64	3539
18	65	3360
19	65	3199
20	65	3061
21	66	2935
22	66	2815
23	66	2704
24	66	2603
25	66	2508
26	67	2420
27	67	2338
28	67	2262
29	67	2194
30	68	2129
31	68	2069
32	68	2013
33	68	1958
34	69	1906
35	69	1856
36	69	1810
37	69	1766
38	69	1723
39	70	1683
40	70	1645
41	70	1608
42	70	1574
43	70	1541
44	71	1509
45	71	1480
46	71	1451
47	71	1424
48	72	1397
49	72	1372
50	72	1347
51	72	1323
52	72	1300
53	72	1278
54	73	1257
55	73	1238
56	73	1218
57	73	1199
58	74	1181
59	74	1163
60	74	1147
61	74	1130
62	74	1114
63	75	1098
64	75	1083
65	75	1068
66	75	1055
67	75	1041
68	76	1027
69	76	1014
70	76	1001
71	76	989
72	76	977
73	77	965
74	77	954
75	77	943
76	77	932
77	77	921
78	78	911
79	78	901
80	78	891
81	78	881
82	78	871
83	79	862
84	79	853
85	79	844
86	79	836
87	79	827
88	80	819
89	80	811
90	80	803
91	80	796
92	80	789
93	81	782
94	81	777
95	81	770
96	82	764
97	82	758
98	82	751
99	82	744
100	82	738
101	83	732
102	83	726
103	83	720
104	83	714
105	84	709
106	84	704
107	84	698
108	84	693
109	85	688
110	85	683
111	85	677
112	85	672
113	85	667
114	86	662
115	86	657
116	86	652
117	86	647
118	86	642
119	87	638
120	87	633
121	87	628
122	87	624
123	87	620
124	87	615
125	88	612
126	88	607
127	88	603
128	88	599
129	88	595
130	89	591
131	89	587
132	89	583
133	89	579
134	89	576
135	90	572
136	90	568
137	90	565
138	90	562
139	90	558
140	91	555
141	91	551
142	91	548
143	91	545
144	91	541
145	92	538
146	92	535
147	92	532
148	92	529
149	92	526
150	93	523
151	93	520
152	93	517
153	93	514
154	93	511
155	94	509
156	94	506
157	94	503
158	94	501
159	94	498
160	95	495
161	95	492
162	95	490
163	95	487
164	95	484
165	96	482
166	96	479
167	96	477
168	96	475
169	96	472
170	97	470
171	97	468
172	97	466
173	97	464
174	97	461
175	98	460
176	98	457
177	98	455
178	98	453
179	99	451
180	99	449
181	99	447
182	99	446
183	100	444
184	100	441
185	100	439
186	100	438
187	101	436
188	101	434
189	101	432
190	101	430
191	101	428
192	102	426
193	102	424
194	102	422
195	102	421
196	102	419
197	103	417
